city,title,rank,point,tag,link,review
Phoenix,Los Reyes De La Torta,166,4.3,['Mexican'],/biz/los-reyes-de-la-torta-phoenix-4,(923 reviews)
Phoenix,Doughbird,167,,"['Comfort Food', 'American (Traditional)', 'Pizza']",/biz/doughbird-phoenix-4,
Phoenix,Zookz Sandwiches,168,4.6,"['Sandwiches', 'Breakfast & Brunch', 'Coffee & Tea']",/biz/zookz-sandwiches-phoenix-phoenix-6,(1.2k reviews)
Phoenix,Irma’s Kitchen,169,4.6,"['Breakfast & Brunch', 'Tacos', 'Party & Event Planning']",/biz/irmas-kitchen-phoenix-2,(370 reviews)
Phoenix,Tratto,170,4.3,"['Italian', 'Cocktail Bars']",/biz/tratto-phoenix,(376 reviews)
Phoenix,Hamburguesas Y Cervezas,171,4.8,"['Mexican', 'Burgers', 'Chicken Wings']",/biz/hamburguesas-y-cervezas-phoenix-2,(56 reviews)
Phoenix,Pizzeria Bianco,172,3.9,"['Italian', 'Pizza', 'Tapas/Small Plates']",/biz/pizzeria-bianco-phoenix-3,(1.2k reviews)
Phoenix,The Vig Fillmore,173,3.8,"['American (New)', 'American (Traditional)', 'Breakfast & Brunch']",/biz/the-vig-fillmore-phoenix,(1k reviews)
Phoenix,Pappadeaux Seafood Kitchen,174,4.1,"['Seafood', 'Cajun/Creole']",/biz/pappadeaux-seafood-kitchen-phoenix-3,(2.6k reviews)
Phoenix,Cold Beers & Cheeseburgers 7th St,175,3.2,['Burgers'],/biz/cold-beers-and-cheeseburgers-7th-st-phoenix-2,(472 reviews)
Phoenix,The Sandwich Spot - Phoenix,176,4.8,"['Sandwiches', 'Salad', 'Breakfast & Brunch']",/biz/the-sandwich-spot-phoenix-phoenix,(114 reviews)
Phoenix,Rite Yah Suh Jamaican Vibez,177,3.4,"['Seafood', 'Chicken Shop', 'Caribbean']",/biz/rite-yah-suh-jamaican-vibez-phoenix,(9 reviews)
Phoenix,Lucky Wok,178,3.4,['Chinese'],/biz/lucky-wok-phoenix,(72 reviews)
Phoenix,Breakfast Bitch,179,3.5,['Breakfast & Brunch'],/biz/breakfast-bitch-phoenix-9,(1k reviews)
Phoenix,Brunch & Sip,180,4.0,"['Coffee & Tea', 'Breakfast & Brunch', 'Cocktail Bars']",/biz/brunch-and-sip-phoenix,(782 reviews)
Phoenix,Yama Sushi House - Phoenix,181,4.2,"['Sushi Bars', 'Japanese']",/biz/yama-sushi-house-phoenix-phoenix,(577 reviews)
Phoenix,Loco Style Grindz,182,5.0,"['Hawaiian', 'Shaved Ice', 'Pop-Up Restaurants']",/biz/loco-style-grindz-phoenix-2,(7 reviews)
Phoenix,George’s Kitchen,183,4.4,"['Salad', 'Greek', 'Mediterranean']",/biz/georges-kitchen-phoenix,(324 reviews)
Phoenix,Feeney’s Restaurant and Bar,184,4.2,"['Bars', 'Steakhouses', 'American (Traditional)']",/biz/feeneys-restaurant-and-bar-phoenix,(508 reviews)
Phoenix,Fuku Sushi,185,3.2,"['Sushi Bars', 'Japanese']",/biz/fuku-sushi-phoenix,(55 reviews)
Phoenix,McKenzie’s Midtown Tavern,186,4.4,"['Sports Bars', 'American (Traditional)', 'Chicken Wings']",/biz/mckenzies-midtown-tavern-phoenix-2,(162 reviews)
Phoenix,Christopher’s At Wrigley Mansion,187,4.7,"['French', 'Modern European', 'Venues & Event Spaces']",/biz/christopher-s-at-wrigley-mansion-phoenix-2,(30 reviews)
Phoenix,Little Anita’s New Mexican Food,188,3.8,['New Mexican Cuisine'],/biz/little-anita-s-new-mexican-food-phoenix,(20 reviews)
Phoenix,Lux Central,189,4.2,"['Coffee & Tea', 'Bakeries', 'Burgers']",/biz/lux-central-phoenix-2,(2.7k reviews)
Phoenix,The Main Ingredient Ale House And Café,190,4.2,"['American (New)', 'Salad', 'Sandwiches']",/biz/the-main-ingredient-ale-house-and-caf%C3%A9-phoenix-2,(670 reviews)
Phoenix,Chico Malo,191,4.0,['Mexican'],/biz/chico-malo-phoenix-3,(1k reviews)
Phoenix,Ingo’s Tasty Food,192,4.4,"['Burgers', 'American (New)', 'Salad']",/biz/ingos-tasty-food-phoenix,(746 reviews)
Phoenix,Brunch Snob,193,,"['Breakfast & Brunch', 'Coffee & Tea', 'Cocktail Bars']",/biz/brunch-snob-phoenix-4,
